,experiment,n,objective,runtime
0,0.0,5.0,11.0,0.005208015441894531
1,1.0,5.0,11.0,0.004585981369018555
2,2.0,5.0,11.0,0.0036749839782714844
3,3.0,5.0,11.0,0.003195047378540039
4,4.0,5.0,11.0,0.003201007843017578
5,5.0,5.0,11.0,0.003284931182861328
6,6.0,5.0,11.0,0.003210783004760742
7,7.0,5.0,11.0,0.003351926803588867
8,8.0,5.0,11.0,0.003423929214477539
9,9.0,5.0,11.0,0.0032470226287841797
10,10.0,5.0,11.0,0.003097057342529297
11,11.0,5.0,11.0,0.0034270286560058594
12,12.0,5.0,11.0,0.0031571388244628906
13,13.0,5.0,11.0,0.0032901763916015625
14,14.0,5.0,11.0,0.003036022186279297
15,15.0,5.0,11.0,0.003159046173095703
16,16.0,5.0,11.0,0.003226041793823242
17,17.0,5.0,11.0,0.0031511783599853516
18,18.0,5.0,11.0,0.0031380653381347656
19,19.0,5.0,11.0,0.003113985061645508
20,0.0,6.0,15.0,0.005319118499755859
21,1.0,6.0,15.0,0.005639076232910156
22,2.0,6.0,15.0,0.005297183990478516
23,3.0,6.0,15.0,0.005300045013427734
24,4.0,6.0,15.0,0.005407094955444336
25,5.0,6.0,15.0,0.005305051803588867
26,6.0,6.0,15.0,0.005347013473510742
27,7.0,6.0,15.0,0.005192995071411133
28,8.0,6.0,15.0,0.005280017852783203
29,9.0,6.0,15.0,0.005320072174072266
30,10.0,6.0,15.0,0.005239009857177734
31,11.0,6.0,15.0,0.00533294677734375
32,12.0,6.0,15.0,0.005248069763183594
33,13.0,6.0,15.0,0.005388021469116211
34,14.0,6.0,15.0,0.005334138870239258
35,15.0,6.0,15.0,0.005830049514770508
36,16.0,6.0,15.0,0.005623817443847656
37,17.0,6.0,15.0,0.005468845367431641
38,18.0,6.0,15.0,0.005263090133666992
39,19.0,6.0,15.0,0.005331993103027344
40,0.0,7.0,19.0,0.008888006210327148
41,1.0,7.0,19.0,0.00883793830871582
42,2.0,7.0,19.0,0.008558034896850586
43,3.0,7.0,19.0,0.008536100387573242
44,4.0,7.0,19.0,0.008569002151489258
45,5.0,7.0,19.0,0.00846409797668457
46,6.0,7.0,19.0,0.008569955825805664
47,7.0,7.0,19.0,0.008606910705566406
48,8.0,7.0,19.0,0.00860905647277832
49,9.0,7.0,19.0,0.00855112075805664
50,10.0,7.0,19.0,0.008433103561401367
51,11.0,7.0,19.0,0.008466005325317383
52,12.0,7.0,19.0,0.008390188217163086
53,13.0,7.0,19.0,0.008444070816040039
54,14.0,7.0,19.0,0.008493900299072266
55,15.0,7.0,19.0,0.008555173873901367
56,16.0,7.0,19.0,0.00853109359741211
57,17.0,7.0,19.0,0.008526086807250977
58,18.0,7.0,19.0,0.009038925170898438
59,19.0,7.0,19.0,0.008697986602783203
